"method","replication","n","coordinate","minimum","maximum"
"SP",4,70,"Nb",0,0.765625
"SP",4,70,"Ta",0,0.703125
"SP",4,70,"Ti",0,0.765625
"SP",4,70,"V",0,0.6484375
"SP",4,70,"W",0,0.765625
"SP",4,70,"Zr",0,0.6484375
"SP",5,70,"Mo",0,0.6484375
"SP",5,70,"Nb",0,0.703125
"SP",5,70,"Ta",0,0.6484375
"SP",5,70,"Ti",0,0.5859375
"SP",5,70,"V",0,0.765625
"SP",5,70,"W",0,0.6484375
"SP",5,70,"Zr",0,0.703125
"SP",6,70,"Mo",0,0.6484375
"SP",6,70,"Nb",0,0.765625
"SP",6,70,"Ta",0,0.6484375
"SP",6,70,"Ti",0,0.703125
"SP",6,70,"V",0,0.703125
"SP",6,70,"W",0,0.6484375
"SP",6,70,"Zr",0,0.5859375
"SP",7,70,"Mo",0,0.765625
"SP",7,70,"Nb",0,0.765625
"SP",7,70,"Ta",0,0.703125
"SP",7,70,"Ti",0,0.6484375
"SP",7,70,"V",0,0.765625
"SP",7,70,"W",0,0.765625
"SP",7,70,"Zr",0,0.6484375
"SP",8,70,"Mo",0,0.6484375
"SP",8,70,"Nb",0,0.6484375
"SP",8,70,"Ta",0,0.765625
"SP",8,70,"Ti",0,0.703125
"SP",8,70,"V",0,0.765625
"SP",8,70,"W",0,0.765625
"SP",8,70,"Zr",0,0.703125
"SP",9,70,"Mo",0,0.6484375
"SP",9,70,"Nb",0,0.765625
"SP",9,70,"Ta",0,0.765625
"SP",9,70,"Ti",0,0.6484375
"SP",9,70,"V",0,0.6484375
"SP",9,70,"W",0,0.6484375
"SP",9,70,"Zr",0,0.703125
"SP",10,70,"Mo",0,0.765625
"SP",10,70,"Nb",0,0.703125
"SP",10,70,"Ta",0,0.765625
"SP",10,70,"Ti",0,0.6484375
"SP",10,70,"V",0,0.765625
"SP",10,70,"W",0,0.6484375
"SP",10,70,"Zr",0,0.765625
"SP",11,70,"Mo",0,0.765625
"SP",11,70,"Nb",0,0.765625
"SP",11,70,"Ta",0,0.703125
"SP",11,70,"Ti",0,0.6484375
"SP",11,70,"V",0,0.765625
"SP",11,70,"W",0,0.6484375
"SP",11,70,"Zr",0,0.6484375
"SP",12,70,"Mo",0,0.6484375
"SP",12,70,"Nb",0,0.765625
"SP",12,70,"Ta",0,0.6484375
"SP",12,70,"Ti",0,0.765625
"SP",12,70,"V",0,0.703125
"SP",12,70,"W",0,0.703125
"SP",12,70,"Zr",0,0.6484375
"SP",13,70,"Mo",0,0.703125
"SP",13,70,"Nb",0,0.765625
"SP",13,70,"Ta",0,0.765625
"SP",13,70,"Ti",0,0.703125
"SP",13,70,"V",0,0.765625
"SP",13,70,"W",0,0.765625
"SP",13,70,"Zr",0,0.6484375
"SP",14,70,"Mo",0,0.6484375
"SP",14,70,"Nb",0,0.703125
"SP",14,70,"Ta",0,0.6484375
"SP",14,70,"Ti",0,0.6484375
"SP",14,70,"V",0,0.6484375
"SP",14,70,"W",0,0.6484375
"SP",14,70,"Zr",0,0.765625
"SP",15,70,"Mo",0,0.703125
"SP",15,70,"Nb",0,0.6484375
"SP",15,70,"Ta",0,0.6484375
"SP",15,70,"Ti",0,0.703125
"SP",15,70,"V",0,0.765625
"SP",15,70,"W",0,0.765625
"SP",15,70,"Zr",0,0.703125
"SP",16,70,"Mo",0,0.765625
"SP",16,70,"Nb",0,0.6484375
"SP",16,70,"Ta",0,0.765625
"SP",16,70,"Ti",0,0.703125
"SP",16,70,"V",0,0.6484375
"SP",16,70,"W",0,0.6484375
"SP",16,70,"Zr",0,0.765625
"SP",17,70,"Mo",0,0.765625
"SP",17,70,"Nb",0,0.6484375
"SP",17,70,"Ta",0,0.6484375
"SP",17,70,"Ti",0,0.703125
"SP",17,70,"V",0,0.765625
"SP",17,70,"W",0,0.6484375
"SP",17,70,"Zr",0,0.6484375
"SP",18,70,"Mo",0,0.6484375
"SP",18,70,"Nb",0,0.6484375
"SP",18,70,"Ta",0,0.6484375
"SP",18,70,"Ti",0,0.765625
"SP",18,70,"V",0,0.6484375
"SP",18,70,"W",0,0.703125
"SP",18,70,"Zr",0,0.703125
"SP",19,70,"Mo",0,0.765625
"SP",19,70,"Nb",0,0.765625
"SP",19,70,"Ta",0,0.765625
"SP",19,70,"Ti",0,0.765625
"SP",19,70,"V",0,0.6484375
"SP",19,70,"W",0,0.5859375
"SP",19,70,"Zr",0,0.703125
"SP",20,70,"Mo",0,0.765625
"SP",20,70,"Nb",0,0.765625
"SP",20,70,"Ta",0,0.6484375
"SP",20,70,"Ti",0,0.765625
"SP",20,70,"V",0,0.6484375
"SP",20,70,"W",0,0.765625
"SP",20,70,"Zr",0,0.765625
"SP",21,70,"Mo",0,0.6484375
"SP",21,70,"Nb",0,0.703125
"SP",21,70,"Ta",0,0.765625
"SP",21,70,"Ti",0,0.703125
"SP",21,70,"V",0,0.6484375
"SP",21,70,"W",0,0.6484375
"SP",21,70,"Zr",0,0.6484375
"SP",22,70,"Mo",0,0.6484375
"SP",22,70,"Nb",0,0.6484375
"SP",22,70,"Ta",0,0.765625
"SP",22,70,"Ti",0,0.765625
"SP",22,70,"V",0,0.6484375
"SP",22,70,"W",0,0.6484375
"SP",22,70,"Zr",0,0.765625
"SP",23,70,"Mo",0,0.6484375
"SP",23,70,"Nb",0,0.703125
"SP",23,70,"Ta",0,0.765625
"SP",23,70,"Ti",0,0.703125
"SP",23,70,"V",0,0.765625
"SP",23,70,"W",0,0.6484375
"SP",23,70,"Zr",0,0.6484375
"SP",24,70,"Mo",0,0.6484375
"SP",24,70,"Nb",0,0.6484375
"SP",24,70,"Ta",0,0.6484375
"SP",24,70,"Ti",0,0.6484375
"SP",24,70,"V",0,0.765625
"SP",24,70,"W",0,0.5859375
"SP",24,70,"Zr",0,0.703125
"SP",25,70,"Mo",0,0.765625
"SP",25,70,"Nb",0,0.6484375
"SP",25,70,"Ta",0,0.6484375
"SP",25,70,"Ti",0,0.703125
"SP",25,70,"V",0,0.703125
"SP",25,70,"W",0,0.6484375
"SP",25,70,"Zr",0,0.6484375
"SP",26,70,"Mo",0,0.765625
"SP",26,70,"Nb",0,0.5859375
"SP",26,70,"Ta",0,0.6484375
"SP",26,70,"Ti",0,0.765625
"SP",26,70,"V",0,0.6484375
"SP",26,70,"W",0,0.765625
"SP",26,70,"Zr",0,0.6484375
"SP",27,70,"Mo",0,0.765625
"SP",27,70,"Nb",0,0.765625
"SP",27,70,"Ta",0,0.6484375
"SP",27,70,"Ti",0,0.6484375
"SP",27,70,"V",0,0.6484375
"SP",27,70,"W",0,0.703125
"SP",27,70,"Zr",0,0.765625
"SP",28,70,"Mo",0,0.703125
"SP",28,70,"Nb",0,0.765625
"SP",28,70,"Ta",0,0.765625
"SP",28,70,"Ti",0,0.6484375
"SP",28,70,"V",0,0.703125
"SP",28,70,"W",0,0.765625
"SP",28,70,"Zr",0,0.765625
"SP",29,70,"Mo",0,0.6484375
"SP",29,70,"Nb",0,0.6484375
"SP",29,70,"Ta",0,0.703125
"SP",29,70,"Ti",0,0.703125
"SP",29,70,"V",0,0.703125
"SP",29,70,"W",0,0.765625
"SP",29,70,"Zr",0,0.765625
"SP",30,70,"Mo",0,0.703125
"SP",30,70,"Nb",0,0.765625
"SP",30,70,"Ta",0,0.6484375
"SP",30,70,"Ti",0,0.6484375
"SP",30,70,"V",0,0.703125
"SP",30,70,"W",0,0.6484375
"SP",30,70,"Zr",0,0.6484375
"SSP",1,70,"Mo",0,0.703125
"SSP",1,70,"Nb",0,0.703125
"SSP",1,70,"Ta",0,0.6484375
"SSP",1,70,"Ti",0,0.765625
"SSP",1,70,"V",0,0.6484375
"SSP",1,70,"W",0,0.765625
"SSP",1,70,"Zr",0,0.765625
"SSP",2,70,"Mo",0,0.765625
"SSP",2,70,"Nb",0,0.6484375
"SSP",2,70,"Ta",0,0.6484375
"SSP",2,70,"Ti",0,0.6484375
"SSP",2,70,"V",0,0.703125
"SSP",2,70,"W",0,0.703125
"SSP",2,70,"Zr",0,0.765625
"SSP",3,70,"Mo",0,0.6484375
"SSP",3,70,"Nb",0,0.765625
"SSP",3,70,"Ta",0,0.6484375
"SSP",3,70,"Ti",0,0.765625
"SSP",3,70,"V",0,0.765625
"SSP",3,70,"W",0,0.6484375
"SSP",3,70,"Zr",0,0.6484375
"SSP",4,70,"Mo",0,0.6484375
"SSP",4,70,"Nb",0,0.765625
"SSP",4,70,"Ta",0,0.703125
"SSP",4,70,"Ti",0,0.765625
"SSP",4,70,"V",0,0.6484375
"SSP",4,70,"W",0,0.765625
"SSP",4,70,"Zr",0,0.6484375
"SSP",5,70,"Mo",0,0.6484375
"SSP",5,70,"Nb",0,0.703125
"SSP",5,70,"Ta",0,0.6484375
"SSP",5,70,"Ti",0,0.5859375
"SSP",5,70,"V",0,0.765625
"SSP",5,70,"W",0,0.6484375
"SSP",5,70,"Zr",0,0.703125
"SSP",6,70,"Mo",0,0.6484375
"SSP",6,70,"Nb",0,0.765625
"SSP",6,70,"Ta",0,0.6484375
"SSP",6,70,"Ti",0,0.703125
"SSP",6,70,"V",0,0.703125
"SSP",6,70,"W",0,0.6484375
"SSP",6,70,"Zr",0,0.5859375
"SSP",7,70,"Mo",0,0.765625
"SSP",7,70,"Nb",0,0.765625
"SSP",7,70,"Ta",0,0.703125
"SSP",7,70,"Ti",0,0.6484375
"SSP",7,70,"V",0,0.765625
"SSP",7,70,"W",0,0.765625
"SSP",7,70,"Zr",0,0.6484375
"SSP",8,70,"Mo",0,0.6484375
"SSP",8,70,"Nb",0,0.6484375
"SSP",8,70,"Ta",0,0.765625
"SSP",8,70,"Ti",0,0.703125
"SSP",8,70,"V",0,0.765625
"SSP",8,70,"W",0,0.765625
"SSP",8,70,"Zr",0,0.703125
"SSP",9,70,"Mo",0,0.6484375
"SSP",9,70,"Nb",0,0.765625
"SSP",9,70,"Ta",0,0.765625
"SSP",9,70,"Ti",0,0.6484375
"SSP",9,70,"V",0,0.6484375
"SSP",9,70,"W",0,0.6484375
"SSP",9,70,"Zr",0,0.703125
"SSP",10,70,"Mo",0,0.765625
"SSP",10,70,"Nb",0,0.703125
"SSP",10,70,"Ta",0,0.765625
"SSP",10,70,"Ti",0,0.6484375
"SSP",10,70,"V",0,0.765625
"SSP",10,70,"W",0,0.6484375
"SSP",10,70,"Zr",0,0.765625
"SSP",11,70,"Mo",0,0.765625
"SSP",11,70,"Nb",0,0.765625
"SSP",11,70,"Ta",0,0.703125
"SSP",11,70,"Ti",0,0.6484375
"SSP",11,70,"V",0,0.765625
"SSP",11,70,"W",0,0.6484375
"SSP",11,70,"Zr",0,0.6484375
"SSP",12,70,"Mo",0,0.6484375
"SSP",12,70,"Nb",0,0.765625
"SSP",12,70,"Ta",0,0.6484375
"SSP",12,70,"Ti",0,0.765625
"SSP",12,70,"V",0,0.703125
"SSP",12,70,"W",0,0.703125
"SSP",12,70,"Zr",0,0.6484375
"SSP",13,70,"Mo",0,0.703125
"SSP",13,70,"Nb",0,0.765625
"SSP",13,70,"Ta",0,0.765625
"SSP",13,70,"Ti",0,0.703125
"SSP",13,70,"V",0,0.765625
"SSP",13,70,"W",0,0.765625
"SSP",13,70,"Zr",0,0.6484375
"SSP",14,70,"Mo",0,0.6484375
"SSP",14,70,"Nb",0,0.703125
"SSP",14,70,"Ta",0,0.6484375
"SSP",14,70,"Ti",0,0.6484375
"SSP",14,70,"V",0,0.6484375
"SSP",14,70,"W",0,0.6484375
"SSP",14,70,"Zr",0,0.765625
"SSP",15,70,"Mo",0,0.703125
"SSP",15,70,"Nb",0,0.6484375
"SSP",15,70,"Ta",0,0.6484375
"SSP",15,70,"Ti",0,0.703125
"SSP",15,70,"V",0,0.765625
"SSP",15,70,"W",0,0.765625
"SSP",15,70,"Zr",0,0.703125
"SSP",16,70,"Mo",0,0.765625
"SSP",16,70,"Nb",0,0.6484375
"SSP",16,70,"Ta",0,0.765625
"SSP",16,70,"Ti",0,0.703125
"SSP",16,70,"V",0,0.6484375
"SSP",16,70,"W",0,0.6484375
"SSP",16,70,"Zr",0,0.765625
"SSP",17,70,"Mo",0,0.765625
"SSP",17,70,"Nb",0,0.6484375
"SSP",17,70,"Ta",0,0.6484375
"SSP",17,70,"Ti",0,0.703125
"SSP",17,70,"V",0,0.765625
"SSP",17,70,"W",0,0.6484375
"SSP",17,70,"Zr",0,0.6484375
"SSP",18,70,"Mo",0,0.6484375
"SSP",18,70,"Nb",0,0.6484375
"SSP",18,70,"Ta",0,0.6484375
"SSP",18,70,"Ti",0,0.765625
"SSP",18,70,"V",0,0.6484375
"SSP",18,70,"W",0,0.703125
"SSP",18,70,"Zr",0,0.703125
"SSP",19,70,"Mo",0,0.765625
"SSP",19,70,"Nb",0,0.765625
"SSP",19,70,"Ta",0,0.765625
"SSP",19,70,"Ti",0,0.765625
"SSP",19,70,"V",0,0.6484375
"SSP",19,70,"W",0,0.5859375
"SSP",19,70,"Zr",0,0.703125
"SSP",20,70,"Mo",0,0.765625
"SSP",20,70,"Nb",0,0.765625
"SSP",20,70,"Ta",0,0.6484375
"SSP",20,70,"Ti",0,0.765625
"SSP",20,70,"V",0,0.6484375
"SSP",20,70,"W",0,0.765625
"SSP",20,70,"Zr",0,0.765625
"SSP",21,70,"Mo",0,0.6484375
"SSP",21,70,"Nb",0,0.703125
"SSP",21,70,"Ta",0,0.765625
"SSP",21,70,"Ti",0,0.703125
"SSP",21,70,"V",0,0.6484375
"SSP",21,70,"W",0,0.6484375
"SSP",21,70,"Zr",0,0.6484375
"SSP",22,70,"Mo",0,0.6484375
"SSP",22,70,"Nb",0,0.6484375
"SSP",22,70,"Ta",0,0.765625
"SSP",22,70,"Ti",0,0.765625
"SSP",22,70,"V",0,0.6484375
"SSP",22,70,"W",0,0.6484375
"SSP",22,70,"Zr",0,0.765625
"SSP",23,70,"Mo",0,0.6484375
"SSP",23,70,"Nb",0,0.703125
"SSP",23,70,"Ta",0,0.765625
"SSP",23,70,"Ti",0,0.703125
"SSP",23,70,"V",0,0.765625
"SSP",23,70,"W",0,0.6484375
"SSP",23,70,"Zr",0,0.6484375
"SSP",24,70,"Mo",0,0.6484375
"SSP",24,70,"Nb",0,0.6484375
"SSP",24,70,"Ta",0,0.6484375
"SSP",24,70,"Ti",0,0.6484375
"SSP",24,70,"V",0,0.765625
"SSP",24,70,"W",0,0.5859375
"SSP",24,70,"Zr",0,0.703125
"SSP",25,70,"Mo",0,0.765625
"SSP",25,70,"Nb",0,0.6484375
"SSP",25,70,"Ta",0,0.6484375
"SSP",25,70,"Ti",0,0.703125
"SSP",25,70,"V",0,0.703125
"SSP",25,70,"W",0,0.6484375
"SSP",25,70,"Zr",0,0.6484375
"SSP",26,70,"Mo",0,0.765625
"SSP",26,70,"Nb",0,0.5859375
"SSP",26,70,"Ta",0,0.6484375
"SSP",26,70,"Ti",0,0.765625
"SSP",26,70,"V",0,0.6484375
"SSP",26,70,"W",0,0.765625
"SSP",26,70,"Zr",0,0.6484375
"SSP",27,70,"Mo",0,0.765625
"SSP",27,70,"Nb",0,0.765625
"SSP",27,70,"Ta",0,0.6484375
"SSP",27,70,"Ti",0,0.6484375
"SSP",27,70,"V",0,0.6484375
"SSP",27,70,"W",0,0.703125
"SSP",27,70,"Zr",0,0.765625
"SSP",28,70,"Mo",0,0.703125
"SSP",28,70,"Nb",0,0.765625
"SSP",28,70,"Ta",0,0.765625
"SSP",28,70,"Ti",0,0.6484375
"SSP",28,70,"V",0,0.703125
"SSP",28,70,"W",0,0.765625
"SSP",28,70,"Zr",0,0.765625
"SSP",29,70,"Mo",0,0.6484375
"SSP",29,70,"Nb",0,0.6484375
"SSP",29,70,"Ta",0,0.703125
"SSP",29,70,"Ti",0,0.703125
"SSP",29,70,"V",0,0.703125
"SSP",29,70,"W",0,0.765625
"SSP",29,70,"Zr",0,0.765625
"SSP",30,70,"Mo",0,0.703125
"SSP",30,70,"Nb",0,0.765625
"SSP",30,70,"Ta",0,0.6484375
"SSP",30,70,"Ti",0,0.6484375
"SSP",30,70,"V",0,0.703125
"SSP",30,70,"W",0,0.6484375
"SSP",30,70,"Zr",0,0.6484375
